portfolio_id,member_id,portfolio_name,created_date,notes
1,5,Portfolio_ANZ47,2020-04-25,
2,21,Portfolio_OAS46,2023-12-22,
3,18,Portfolio_LUA60,2025-09-21,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
4,13,Portfolio_QIF29,2025-08-18,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
5,9,Portfolio_PZS27,2024-09-21,
6,32,Portfolio_LXN11,2023-12-08,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
7,24,Portfolio_YNJ01,2022-12-12,
8,21,Portfolio_VXR46,2020-07-06,
9,32,Portfolio_GFG49,2024-12-22,Fusce consequat. Nulla nisl. Nunc nisl.
10,22,Portfolio_YIX53,2023-10-20,
11,30,Portfolio_QWO19,2024-08-20,
12,27,Portfolio_WGQ41,2024-06-30,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
13,9,Portfolio_NFI40,2023-12-06,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
14,28,Portfolio_IRJ91,2020-03-16,
15,10,Portfolio_PKI87,2025-01-31,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
16,7,Portfolio_SQQ05,2025-02-25,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
17,19,Portfolio_JQT43,2024-04-23,Phasellus in felis. Donec semper sapien a libero. Nam dui.
18,34,Portfolio_OGP48,2022-04-26,
19,34,Portfolio_IOQ19,2023-07-15,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
20,29,Portfolio_BEL52,2023-08-07,
21,26,Portfolio_OHH03,2023-12-06,
22,19,Portfolio_VSB64,2024-08-30,
23,35,Portfolio_DYH05,2021-10-10,
24,4,Portfolio_LLV83,2022-12-26,
25,3,Portfolio_NRL97,2020-04-08,
26,5,Portfolio_ZER89,2024-08-29,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
27,39,Portfolio_YYQ69,2025-09-12,
28,10,Portfolio_IBM40,2021-07-13,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
29,7,Portfolio_EBS19,2022-03-15,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
30,21,Portfolio_XCI57,2020-05-19,
31,32,Portfolio_KPL46,2023-11-21,
32,19,Portfolio_PAB87,2022-11-01,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
33,31,Portfolio_WPI40,2022-07-30,
34,8,Portfolio_STL63,2023-06-29,
35,8,Portfolio_SRD72,2022-09-22,
36,8,Portfolio_DOF72,2024-08-26,
37,5,Portfolio_UKK29,2023-12-07,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
38,31,Portfolio_KAW43,2022-11-29,
39,36,Portfolio_YNP43,2020-04-28,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
40,29,Portfolio_OEU23,2023-11-26,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
41,10,Portfolio_VQD41,2023-01-22,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
42,24,Portfolio_BOJ15,2024-02-23,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
43,27,Portfolio_UZJ96,2022-05-04,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
44,7,Portfolio_JDQ60,2023-01-05,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
45,1,Portfolio_RTA86,2023-12-15,
46,33,Portfolio_WCK23,2025-11-23,
47,2,Portfolio_QVY92,2023-07-05,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
48,34,Portfolio_OBV47,2023-10-01,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
49,5,Portfolio_SMS23,2020-05-30,
50,40,Portfolio_IVB76,2024-08-28,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
51,31,Portfolio_YFB18,2020-10-04,Fusce consequat. Nulla nisl. Nunc nisl.
52,22,Portfolio_PGQ73,2023-11-17,
53,7,Portfolio_CZS88,2024-06-15,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
54,19,Portfolio_TYP99,2023-05-27,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
55,25,Portfolio_SKC66,2021-12-28,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
56,39,Portfolio_FMM64,2025-10-05,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
57,29,Portfolio_UGB90,2020-03-24,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
58,8,Portfolio_ENC42,2020-05-20,
59,3,Portfolio_WGE42,2024-08-14,
60,22,Portfolio_UNN82,2022-05-15,
